"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jguiang-MacBookPro",,,,"User:","jguiang"
"Cmdline:","dstat -cdngytlmrs --float --nocolor -T --output dsout.csv 2",,,,"Date:","04 Jun 2017 13:20:47 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"system","load avg",,,"memory usage",,,,"io/total",,"swap",,"epoch"
1.253,1.128,97.494,0.125,0.0,0.0,0.0,55296.0,42.0,0.0,0.0,0.0,232.0,2321.500,04-06 13:21:07,0.180,0.180,0.190,1819922432.0,136601600.0,1472249856.0,4810059776.0,0.0,8.0,0.0,8191471616.0,1496607667.108
1.623,0.999,97.378,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,223.0,2334.0,04-06 13:21:09,0.180,0.180,0.190,1819779072.0,136601600.0,1472249856.0,4810203136.0,0.0,0.0,0.0,8191471616.0,1496607669.108
1.005,1.005,97.990,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,214.500,2321.500,04-06 13:21:11,0.160,0.180,0.190,1819779072.0,136601600.0,1472249856.0,4810203136.0,0.0,0.0,0.0,8191471616.0,1496607671.108
1.004,0.878,97.992,0.125,0.0,0.0,0.0,6144.0,42.0,0.0,0.0,0.0,222.500,2506.0,04-06 13:21:13,0.160,0.180,0.190,1819770880.0,136609792.0,1472249856.0,4810203136.0,0.0,1.0,0.0,8191471616.0,1496607673.108
1.252,0.876,97.747,0.125,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,222.500,2444.0,04-06 13:21:15,0.160,0.180,0.190,1820024832.0,136609792.0,1472249856.0,4809949184.0,0.0,0.0,0.0,8191471616.0,1496607675.108
1.378,1.128,97.494,0.0,0.0,0.0,0.0,2048.0,21.0,0.0,0.0,0.0,227.500,2326.0,04-06 13:21:17,0.150,0.180,0.180,1820151808.0,136609792.0,1472249856.0,4809822208.0,0.0,0.500,0.0,8191471616.0,1496607677.108
1.508,0.754,97.739,0.0,0.0,0.0,0.0,6144.0,42.0,0.0,0.0,0.0,239.500,2415.0,04-06 13:21:19,0.150,0.180,0.180,1820794880.0,136617984.0,1472249856.0,4809170944.0,0.0,1.0,0.0,8191471616.0,1496607679.108
1.382,0.754,97.864,0.0,0.0,0.0,0.0,59392.0,21.0,0.0,0.0,0.0,212.500,2322.500,04-06 13:21:21,0.140,0.170,0.180,1820921856.0,136617984.0,1472249856.0,4809043968.0,0.0,2.500,0.0,8191471616.0,1496607681.108
1.500,1.125,97.375,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,219.500,2289.500,04-06 13:21:23,0.140,0.170,0.180,1820917760.0,136617984.0,1472253952.0,4809043968.0,0.0,0.0,0.0,8191471616.0,1496607683.108
1.261,0.631,98.108,0.0,0.0,0.0,0.0,10240.0,42.0,0.0,0.0,0.0,215.500,2343.0,04-06 13:21:25,0.140,0.170,0.180,1821290496.0,136626176.0,1472253952.0,4808663040.0,0.0,1.0,0.0,8191471616.0,1496607685.108
1.256,0.879,97.739,0.126,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,226.500,2355.500,04-06 13:21:27,0.130,0.170,0.180,1821290496.0,136626176.0,1472253952.0,4808663040.0,0.0,0.0,0.0,8191471616.0,1496607687.108
